Main Food Description,Food code,WWEIA Category number,WWEIA Category Description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Potato, home fries, NFS",71403020,6804,French fries and other fried white potatoes,197,1.92,18.4,1.24,1.6,13.03,1.754,5.482,5.01,0,0,0,0,3,0,0,13,0.073,0.03,1.209,0.264,0,16,16,16,12.7,0,0,9.7,0,2.49,0,14,9,52,23,0.64,0.28,0.144,0.3,399,340,0,0,0,0,0,0,0.001,0.003,0.007,1.257,0.376,0.046,5.34,0.087,0,4.429,0.575,0,0,0,0,0,64.79
"Potato, mashed, NFS",71501000,6806,Mashed potatoes and white potato mixtures,114,2.15,17.6,2.13,1.2,4.07,2.146,1.11,0.418,10,36,37,0,12,0,0,0,0.088,0.054,1.106,0.27,0,8,8,8,15.3,0.04,0,10.1,0,0.25,0,1.5,25,58,21,0.28,0.3,0.169,0.9,330,210,0,0,0,0.077,0.059,0.037,0.087,0.103,0.325,0.997,0.392,0.063,0.999,0.007,0,0.365,0.044,0,0.005,0.001,0.002,0,74.83
"Potato, NFS",71000100,6802,"White potatoes, baked or boiled",126,1.87,20.45,1.62,1.4,4.25,1.113,1.478,1.234,3,18,19,0,8,0,0,0,0.1,0.02,1.324,0.312,0,9,9,9,14.1,0,0,12.1,0,0.66,0,3.7,5,48,24,0.34,0.28,0.204,0.3,372,166,0,0,0,0.029,0.021,0.012,0.029,0.036,0.105,0.61,0.226,0.024,1.421,0.019,0,1.091,0.142,0,0.002,0,0.001,0,72.09
"Potato, roasted, NFS",71104030,6802,"White potatoes, baked or boiled",126,1.87,20.45,1.62,1.4,4.25,1.113,1.478,1.234,3,18,19,0,8,0,0,0,0.1,0.02,1.324,0.312,0,9,9,9,14.1,0,0,12.1,0,0.66,0,3.7,5,48,24,0.34,0.28,0.204,0.3,372,166,0,0,0,0.029,0.021,0.012,0.029,0.036,0.105,0.61,0.226,0.024,1.421,0.019,0,1.091,0.142,0,0.002,0,0.001,0,72.09
"Potato, scalloped, NFS",71305015,6806,Mashed potatoes and white potato mixtures,168,7.13,13.51,2.13,0.8,9.63,5.225,2.157,0.541,27,99,100,0,8,0,0,0,0.078,0.148,0.816,0.194,1,9,11,10,13.7,0.2,0,6.3,0.4,0.34,0,1.6,191,154,22,0.29,1.07,0.116,7.1,251,322,0,0,0,0.18,0.146,0.093,0.225,0.258,0.824,2.408,0.934,0.135,2.127,0.017,0,0.508,0.058,0,0.013,0.002,0.005,0,67.82
"Pretzels, hard, coated, NFS",54408190,5008,Pretzels/snack mix,467,7.05,70.07,38.8,3.5,17.64,8.611,3.293,2.82,0,25,25,0,0,0,0,9,0.36,0.317,2.398,0.031,58,16,114,74,39.7,0.32,0,0,0,0.62,0,11.1,141,128,35,2.54,1.33,0.262,14.5,199,494,8,87,0,0.152,0.042,0.047,0.104,0.108,0.507,4.147,3.465,0.191,3.102,0,0,2.522,0.298,0,0,0,0,0,3.06
"Pretzels, hard, filled, NFS",54408290,5008,Pretzels/snack mix,463,9.85,66.5,17.6,3.6,16.92,9.656,3.806,1.354,5,55,56,0,18,0,0,5,0.3,0.557,3.183,0.046,0,8,8,8,21,0.12,0,0,0.1,0.67,0,3.3,197,143,22,0.92,0.73,0.119,5.7,130,1117,0,0,0,0.225,0.129,0.251,0.271,1.774,1.239,4.411,1.321,0.216,3.58,0.009,0,1.241,0.113,0,0,0,0,0,1.67
"Pretzels, hard, flavored",54408035,5008,Pretzels/snack mix,388,9.92,79.44,2.18,3.4,3.88,0.518,1.137,1.655,0,0,0,0,0,0,0,9,0.419,0.328,5.208,0.073,87,82,230,169,29.2,0,0,2.1,0,0.65,0,3.8,27,126,29,4.53,1.03,0.154,4.3,220,1183,0,0,0,0,0,0,0.002,0.001,0.001,0.411,0.078,0.006,1.106,0.022,0.001,1.548,0.106,0,0,0,0,0,3.09
"Pretzels, hard, NFS",54408015,5008,Pretzels/snack mix,384,10.04,80.39,2.21,3.4,2.93,0.391,0.727,1.291,0,0,0,0,0,0,0,9,0.424,0.332,5.27,0.074,88,83,233,171,29.5,0,0,2.1,0,0.47,0,2.8,27,128,29,4.58,1.04,0.156,4.4,223,1120,0,0,0,0,0,0,0.002,0.001,0.001,0.32,0.05,0.003,0.706,0.016,0.001,1.227,0.064,0,0,0,0,0,3.13
"Pretzels, hard, peanut butter filled",54408310,5008,Pretzels/snack mix,454,14.04,60.79,4.95,3.9,19,3.688,9.095,5.019,0,0,0,0,0,0,0,6,0.331,0.284,7.853,0.196,58,84,184,142,40.5,0,0,1.4,0,3.33,0,2,34,196,75,3.62,1.52,0.244,4.3,333,1039,0,0,0,0,0,0,0.001,0.001,0.007,1.787,0.757,0.012,8.707,0.203,0.016,4.886,0.052,0,0.006,0,0,0,2.49
"Pretzels, NFS",54408000,5008,Pretzels/snack mix,384,10.04,80.39,2.21,3.4,2.93,0.391,0.727,1.291,0,0,0,0,0,0,0,9,0.424,0.332,5.27,0.074,88,83,233,171,29.5,0,0,2.1,0,0.47,0,2.8,27,128,29,4.58,1.04,0.156,4.4,223,1120,0,0,0,0,0,0,0.002,0.001,0.001,0.32,0.05,0.003,0.706,0.016,0.001,1.227,0.064,0,0,0,0,0,3.13
"Pretzels, soft, gluten free",54408485,5008,Pretzels/snack mix,297,4.03,57.27,3.77,4,5.74,1.792,2.148,0.556,0,0,0,0,0,0,0,0,0.249,0.329,1.885,0.065,0,24,24,24,9.2,0,0,0.1,0,0.76,0,0.4,90,40,10,1.87,0.34,0.067,1,73,839,0,0,0,0,0,0.012,0.012,0.013,0.048,1.49,0.197,0.015,1.656,0.007,0,0.538,0.015,0,0.001,0.002,0,0,30.36
"Pretzels, soft, NFS",54408400,5008,Pretzels/snack mix,345,8.01,69.38,0.24,1.7,4,1.283,1.326,0.962,2,8,8,0,2,0,0,17,0.4,0.283,4.17,0.02,0,23,23,23,17.5,0,0,0,0,0.56,0,2.7,23,77,21,3.83,0.92,0.123,16.8,86,775,0,0,0,0.032,0.019,0.011,0.024,0.027,0.106,0.691,0.355,0.022,1.289,0,0,0.893,0.068,0,0,0,0,0,14.66
"Pudding, bread",13210110,5804,Pudding,156,5.6,23.53,15.1,1,4.86,1.7,1.629,1.031,61,76,77,0,15,2,0,74,0.1,0.188,0.794,0.061,9,11,26,20,46.4,0.22,0,0.2,1.1,0.38,0,2.4,134,119,18,0.97,0.62,0.048,9,211,206,0,0,0,0.031,0.024,0.016,0.037,0.045,0.175,0.928,0.4,0.059,1.589,0.005,0,0.917,0.076,0,0.002,0,0.001,0,64.64
"Pudding, chocolate, made from dry mix",13220120,5804,Pudding,113,3.14,20.32,16.62,0.7,2.1,1.17,0.463,0.122,7,47,47,0,3,0,0,1,0.048,0.122,0.133,0.052,0,2,2,2,15.2,0.45,0,0.1,0.9,0.04,0,0.5,104,97,18,0.24,0.46,0.067,2,171,362,1,46,0,0.037,0.029,0.019,0.046,0.053,0.167,0.546,0.244,0.027,0.469,0.002,0,0.119,0.013,0,0.002,0,0.001,0,72.94
"Pudding, chocolate, NFS",13200110,5804,Pudding,142,2.09,23.01,17.17,0,4.6,1.263,2.731,0.105,1,14,14,0,0,0,0,1,0.024,0.072,0.123,0.018,0,3,3,3,9.5,0.09,0,0.3,0,0.31,0,0.6,51,56,18,1.27,0.34,0.092,0,184,152,2,70,0,0.001,0,0,0,0,0.006,0.58,0.646,0.004,2.718,0.009,0,0.103,0.002,0,0,0,0,0,69.46
"Pudding, rice",13210410,5804,Pudding,108,3.23,18.39,11.59,0.3,2.15,1.208,0.556,0.129,12,19,19,0,4,0,0,9,0.027,0.183,0.217,0.052,0,4,4,4,7.8,0.15,0,1.3,0,0.07,0,0.2,95,82,8,0.11,0.43,0.023,3.2,125,97,0,0,0,0.043,0.03,0.019,0.058,0.056,0.185,0.59,0.19,0.035,0.492,0.004,0,0.113,0.008,0,0.005,0,0,0,75.15
"Pudding, tapioca, made from dry mix",13210520,5804,Pudding,130,1.95,21.69,14.91,0,3.88,0.962,2.538,0.072,1,0,0,0,0,0,0,0,0.024,0.097,0.065,0.024,0,3,3,3,6.2,0.21,0,0.3,0,0.15,0,0.4,71,60,6,0.11,0.22,0.018,0,92,145,0,0,0,0.001,0,0,0,0,0.006,0.417,0.511,0,2.53,0.007,0,0.072,0,0,0,0,0,0,71.84
"Pudding, tapioca, ready-to-eat",13230500,5804,Pudding,130,1.95,21.69,14.91,0,3.88,0.962,2.538,0.072,1,0,0,0,0,0,0,0,0.024,0.097,0.065,0.024,0,3,3,3,6.2,0.21,0,0.3,0,0.15,0,0.4,71,60,6,0.11,0.22,0.018,0,92,145,0,0,0,0.001,0,0,0,0,0.006,0.417,0.511,0,2.53,0.007,0,0.072,0,0,0,0,0,0,71.84
"Quesadilla, egg",58104780,3706,Egg/breakfast sandwiches,249,10.91,20.06,1.75,1.4,13.71,4.429,4.457,3.223,212,109,110,0,6,7,0,256,0.229,0.336,1.725,0.058,31,34,86,64,138.6,0.52,0,0,1.5,1.24,0,6.7,148,215,16,2.28,1.06,0.043,25.9,126,470,0,0,0,0.045,0.035,0.022,0.052,0.063,0.228,2.71,1.167,0.17,4.256,0.038,0,2.791,0.256,0,0.003,0.001,0.001,0,53.38
"Quesadilla, NFS",58104700,3506,Other Mexican mixed dishes,316,13.36,28.62,2.41,2,16.21,8.454,3.477,1.699,36,85,85,0,0,0,0,5,0.292,0.292,2.502,0.06,44,14,89,58,10.1,0.45,0,0,0.1,0.18,0,4.9,348,291,23,2.05,1.69,0.063,20.5,107,676,0,0,0,0.302,0.161,0.115,0.258,0.357,1.108,4.157,1.739,0.263,3.688,0.027,0,1.482,0.2,0.001,0.01,0.002,0.004,0,38.95
"Quiche with meat, poultry or fish",58125110,3208,Turnovers and other grain-based items,387,15.5,12.12,1.91,0.7,30.63,14.677,9.414,2.68,153,207,208,0,13,3,0,105,0.162,0.272,2.238,0.127,8,17,32,26,77.2,0.7,0,0.4,1.1,0.8,0,2.9,232,257,20,1.01,1.85,0.046,22.9,178,570,0,0,0,0.386,0.316,0.196,0.461,0.541,1.869,7.42,3.048,0.575,9.238,0.106,0.002,2.165,0.131,0,0.058,0.005,0.014,0.001,39.21
"Radicchio, raw",72124100,6410,Lettuce and lettuce salads,23,1.43,4.48,0.6,0.9,0.25,0.06,0.01,0.11,0,0,1,0,16,0,0,8832,0.016,0.028,0.255,0.057,0,60,60,60,10.9,0,0,8,0,2.26,0,255.2,19,40,13,0.57,0.62,0.341,0.9,302,22,0,0,0,0,0,0,0,0,0.003,0.052,0.003,0,0.005,0,0,0.093,0.016,0,0,0,0,0,93.14
"Ramen bowl, NFS",58407034,3808,Ramen and Asian broth-based soups,127,7.13,13.95,0.42,0.9,4.57,1.055,1.764,1.235,53,19,31,0,143,1,0,105,0.139,0.128,1.498,0.098,29,17,66,46,48.2,0.32,0,2.8,0.3,0.6,0,13.4,18,79,14,0.98,0.72,0.058,18.3,96,333,0,0,0,0,0,0,0.001,0.004,0.03,0.732,0.254,0.076,1.651,0.018,0,1.068,0.111,0,0.007,0.003,0.001,0.006,73.24
"Ramen bowl, vegetarian",58407052,3808,Ramen and Asian broth-based soups,108,4.01,15.57,0.54,1.1,3.33,0.476,1.168,1.361,0,0,13,0,159,0,0,60,0.144,0.078,0.945,0.044,32,16,70,48,7.7,0,0,3.1,0,0.5,0,14.8,29,45,15,0.9,0.37,0.079,14.1,64,344,0,0,0,0,0,0,0,0.003,0.006,0.354,0.093,0.01,1.142,0.016,0,1.205,0.152,0,0,0,0,0,75.89
"Raspberries, raw",63219000,6011,Blueberries and other berries,57,1.01,12.9,2.68,6.5,0.19,0.019,0.064,0.375,0,0,2,16,12,0,0,136,0.032,0.038,0.598,0.055,0,21,21,21,12.3,0,0,23,0,0.87,0,7.8,16,27,19,0.45,0.22,0.053,0.2,156,0,0,0,0,0,0,0,0,0,0,0.016,0.004,0,0.059,0.005,0,0.249,0.126,0,0,0,0,0,85.55
"Ravioli, cheese and spinach filled, with tomato sauce",58131610,3204,"Pasta mixed dishes, excludes macaroni and cheese",117,5.19,16.82,1.33,1.2,3.37,1.452,0.925,0.423,62,38,89,1,604,4,4239,1200,0.163,0.198,1.47,0.093,17,24,53,41,44,0.16,0,5.3,0.3,1.02,0,73.5,59,81,27,1.66,0.51,0.079,7.5,229,535,0,0,0,0.034,0.027,0.017,0.041,0.049,0.161,0.828,0.263,0.069,0.868,0.005,0,0.353,0.035,0,0.013,0.001,0.001,0.003,72.51
"Ravioli, cheese and spinach-filled, no sauce",58131590,3204,"Pasta mixed dishes, excludes macaroni and cheese",150,6.62,20.83,0.26,1,4.51,1.983,1.254,0.529,85,53,113,1,723,4,0,1643,0.214,0.245,1.608,0.087,23,31,71,54,56.6,0.22,0,4.4,0.5,0.77,0,100,75,99,31,1.86,0.6,0.058,10,185,528,0,0,0,0.046,0.037,0.024,0.057,0.067,0.222,1.128,0.358,0.094,1.177,0.007,0.001,0.435,0.046,0,0.017,0.001,0.001,0.004,65.99
"Ravioli, cheese and spinach-filled, with cream sauce",58131600,3204,"Pasta mixed dishes, excludes macaroni and cheese",145,5.56,15.67,1.75,0.7,6.74,2.309,2.442,1.284,60,83,126,1,513,3,0,1111,0.162,0.211,1.124,0.077,16,21,48,37,43.9,0.3,0,3,0.8,0.87,0,71.2,91,100,25,1.26,0.55,0.039,7.4,176,398,0,0,0,0.046,0.037,0.023,0.057,0.066,0.217,1.262,0.539,0.075,2.385,0.01,0,1.146,0.11,0,0.013,0.001,0.001,0.003,70.32
"Raw vegetable, NFS",75100250,6420,Other vegetables and combinations,30,1.19,5.83,2.53,2,0.26,0.034,0.021,0.066,0,0,206,921,2025,1,703,359,0.05,0.074,0.658,0.113,0,39,39,39,10,0,0,28.7,0,0.42,0,37.5,35,37,13,0.26,0.21,0.04,0.4,263,53,0,0,0,0,0,0,0,0,0,0.029,0.005,0.001,0.02,0,0,0.069,0.007,0,0,0,0,0,92.02
"Ribs, NFS",22700000,2006,Pork,254,16.52,12.13,9.89,0.3,14.97,5.44,6.378,2.193,60,4,7,0,40,1,1354,26,0.285,0.225,5.401,0.322,0,1,1,1,58.8,0.6,0,0.2,0.7,0.44,0,0.7,39,124,16,0.91,2.35,0.093,22.3,244,674,0,0,0,0.001,0,0,0.018,0.015,0.23,3.322,1.778,0.342,5.935,0.094,0.007,1.932,0.111,0,0.055,0,0.011,0.001,54.23
"Rice, cooked, NFS",56205000,4002,Rice,129,2.67,27.99,0.05,0.4,0.28,0.077,0.087,0.076,0,0,0,0,0,0,0,0,0.162,0.013,1.467,0.092,55,3,96,58,2.1,0,0,0,0,0.04,0,0,10,43,12,1.19,0.49,0.069,7.5,35,245,0,0,0,0,0,0,0,0,0.002,0.069,0.005,0.001,0.086,0,0,0.062,0.013,0,0,0,0,0,68.01
"Rice, fried, meatless",58150110,3402,Fried rice and lo/chow mein,174,3.84,32.5,0.62,1.1,3.19,0.493,0.588,1.13,18,10,22,38,128,0,3,103,0.015,0.026,0.637,0.032,0,6,6,6,5.5,0,0,3.8,0,0.13,0,2.8,11,44,10,0.46,0.69,0.086,8.3,69,361,0,0,0,0,0,0,0,0,0.012,0.346,0.112,0.007,0.578,0.006,0,1,0.123,0,0.002,0,0,0,59.3
"Rice, fried, NFS",58150310,3402,Fried rice and lo/chow mein,174,3.84,32.5,0.62,1.1,3.19,0.493,0.588,1.13,18,10,22,38,128,0,3,103,0.015,0.026,0.637,0.032,0,6,6,6,5.5,0,0,3.8,0,0.13,0,2.8,11,44,10,0.46,0.69,0.086,8.3,69,361,0,0,0,0,0,0,0,0,0.012,0.346,0.112,0.007,0.578,0.006,0,1,0.123,0,0.002,0,0,0,59.3
"Roll, cheese",51154600,4204,Rolls and buns,315,11.48,49.56,5.29,1.9,7.85,2.266,2.159,2.443,9,17,17,0,0,0,0,12,0.501,0.377,5.101,0.095,67,29,143,97,14.5,0.15,0,0.2,0,0.3,0,10.2,204,139,26,3.54,1.12,0.13,26.9,136,476,0,0,0,0.034,0.027,0.017,0.042,0.048,0.164,1.185,0.68,0.051,2.112,0.023,0,2.229,0.219,0,0.003,0,0.001,0.001,28.85
"Roll, diet",51154510,4204,Rolls and buns,272,10.75,51.88,4.62,2.2,2.42,0.529,0.362,0.855,0,0,0,0,0,0,0,45,0.71,0.427,4.817,0.107,95,28,189,123,8,0,0,0,0,0.21,0,0.7,52,105,32,3.91,1.04,0.152,28.6,117,602,0,0,0,0,0,0.001,0.002,0.002,0.006,0.363,0.138,0.011,0.344,0.006,0,0.79,0.064,0,0,0,0,0,33
"Roll, egg bread",51154550,4204,Rolls and buns,287,9.5,47.8,1.78,2.3,6,1.593,2.302,1.106,51,63,63,0,0,0,0,45,0.438,0.436,4.848,0.064,35,70,130,105,84.3,0.1,0,0,0.4,0.26,0,0.9,93,106,19,3.04,0.79,0.162,30.1,115,380,0,0,0,0,0,0.001,0.001,0.001,0.02,1.082,0.463,0.108,2.182,0.009,0.001,0.998,0.048,0,0.046,0.001,0,0.012,34.7
"Roll, sweet, cinnamon bun, frosted",51160110,5506,"Doughnuts, sweet rolls, pastries",452,4.45,48.6,25.7,1.2,26.61,12.649,8.723,3.676,5,0,0,0,1,0,0,6,0.211,0.138,2.404,0.038,53,19,109,72,10.6,0.16,0,0.3,0,1.15,0,15.2,183,131,14,1.37,0.53,0.062,13,102,305,0,0,0,0.007,0,0.013,0.026,0.117,0.261,10.152,1.884,0.052,8.599,0.064,0,3.436,0.225,0,0.006,0.002,0,0,18.98
"Roll, sweet, cinnamon bun, no frosting",51160100,5506,"Doughnuts, sweet rolls, pastries",372,6.2,50.9,31.73,2.4,16.4,3.079,4.797,7.473,66,61,62,1,5,2,0,70,0.324,0.265,2.384,0.107,48,24,106,72,41.3,0.14,0,2,0,1.99,0,4.4,72,76,17,1.6,0.59,0.088,17,111,304,0,0,0,0.001,0,0,0.001,0.001,0.049,2.383,0.633,0.07,4.724,0.003,0,7.021,0.433,0,0.015,0,0,0.004,24.8
"Rutabaga, raw",75127000,6420,Other vegetables and combinations,37,1.08,8.62,4.46,2.3,0.16,0.027,0.025,0.088,0,0,0,0,1,1,14,19,0.09,0.04,0.7,0.1,0,21,21,21,14.1,0,0,25,0,0.3,0,0.3,43,53,20,0.44,0.24,0.032,0.7,305,12,0,0,0,0,0,0,0,0,0,0.024,0.003,0,0.025,0,0,0.035,0.053,0,0,0,0,0,89.43
"Salami, NFS",25221500,2602,Cold cuts and cured meats,378,21.07,0.72,0.26,0,31.65,11.418,14.717,4.895,108,11,11,0,0,0,0,0,0.386,0.196,6.105,0.441,0,0,0,0,72.6,1.15,0,0,0.9,0.64,0,0,24,192,20,1.36,2.67,0.096,33.6,363,1756,0,0,0,0,0,0.002,0.048,0.026,0.517,7.046,3.531,0.843,13.433,0.243,0.023,4.264,0.181,0.001,0.136,0.004,0.021,0.007,41.19
"Salsa, NFS",74402100,8402,Tomato-based condiments,34,1.44,6.74,3.81,1.8,0.19,0.021,0.018,0.078,0,0,24,0,288,0,6310,211,0.035,0.032,1.12,0.176,0,4,4,4,12.8,0,0,1.9,0,1.22,0,4.2,28,32,15,0.42,0.2,0.065,0.9,258,656,0,0,0,0,0,0,0,0,0,0.016,0.004,0,0.017,0,0,0.074,0.004,0,0,0,0,0,89.3
"Sangria, red",93404550,7504,Wine,85,0.04,7.23,6.14,0,0.02,0.001,0,0,0,0,0,0,1,1,0,3,0.003,0.018,0.119,0.03,0,1,1,1,3,0,0,0.3,0,0,0,0.2,6,12,7,0.25,0.11,0.01,0.1,68,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.54
"Sauce, NFS",81308200,8412,"Dips, gravies, other sauces",109,1.59,12.72,4.56,0.2,5.67,2.612,1.482,0.688,13,39,41,0,21,0,1112,2,0.009,0.049,0.197,0.021,0,3,3,3,3.8,0.04,0,0.6,0.2,0.45,0,1.8,39,34,7,0.19,0.23,0.023,1.7,56,968,0,0,0,0.085,0.07,0.045,0.106,0.125,0.397,1.256,0.436,0.086,1.506,0.017,0,0.565,0.071,0,0.007,0.001,0.002,0,77.25
Sausage English muffin sandwich,34002150,3706,Egg/breakfast sandwiches,300,13.48,22.81,2.51,1.7,17.2,7.017,6.213,2.535,44,54,55,0,13,1,0,24,0.322,0.246,3.922,0.106,27,22,67,49,31,0.58,0,0.9,1.1,0.53,0,1,237,192,22,2.39,1.78,0.096,21.3,183,615,0,0,0,0.101,0.079,0.052,0.129,0.189,0.608,3.857,1.845,0.319,5.809,0.135,0.002,2.236,0.112,0.001,0.052,0.002,0.012,0.002,43.93
"Sausage, NFS",25221400,2608,Sausages,325,18.53,1.42,1.09,0,27.25,8.826,11.541,5.115,86,28,28,0,0,0,0,0,0.256,0.176,6.119,0.195,0,1,1,1,62.3,0.98,0,0,1.4,0.9,0,0,9,149,16,1.2,2.45,0.071,20.7,342,814,0,0,0,0,0,0.001,0.024,0.02,0.322,5.545,2.749,0.557,10.578,0.334,0.006,4.446,0.146,0,0.123,0.002,0.025,0.003,49.89
"Seaweed, dried",75232000,9999,Not included in a food category,298,31.84,52.39,3.04,5.6,4.01,1.356,0.351,1.091,0,0,14,0,171,0,0,0,1.195,1.946,6.511,0.334,0,337,337,337,64.6,0,0,5,0,5,0,25,372,85,482,24.95,3.9,3.355,7.3,1244,575,0,0,0,0,0,0,0,0,0.039,1.276,0.04,0.168,0.178,0.004,0,0.629,0.412,0,0.005,0.044,0,0,6.68
"Seaweed, raw",75127500,6420,Other vegetables and combinations,41,3.51,7.94,0.58,0.7,0.49,0.146,0.06,0.125,0,0,95,0,1136,0,0,0,0.069,0.275,1.18,0.054,0,174,174,174,12.4,0,0,15,0,0.96,0,25.1,129,60,77,2.28,0.89,0.226,0.7,165,384,0,0,0,0,0,0,0,0,0.014,0.092,0.032,0.01,0.038,0.01,0,0.011,0.002,0.001,0.014,0.09,0,0,82.2
"Shellfish, NFS",26300000,2404,Shellfish,146,15.46,4.9,0.07,0.2,6.67,1.234,2.416,2.296,140,63,63,0,3,0,0,3,0.067,0.04,2.181,0.172,7,17,28,24,90.5,1.03,0,0,0.1,2.41,0,5.6,64,273,26,0.53,1.11,0.207,33.3,131,348,0,0,0,0.011,0.007,0.004,0.01,0.017,0.052,0.768,0.287,0.045,2.277,0.037,0,1.854,0.228,0,0.038,0.074,0.007,0.076,70.78
"Shrimp, NFS",26319110,2404,Shellfish,146,15.46,4.9,0.07,0.2,6.67,1.234,2.416,2.296,140,63,63,0,3,0,0,3,0.067,0.04,2.181,0.172,7,17,28,24,90.5,1.03,0,0,0.1,2.41,0,5.6,64,273,26,0.53,1.11,0.207,33.3,131,348,0,0,0,0.011,0.007,0.004,0.01,0.017,0.052,0.768,0.287,0.045,2.277,0.037,0,1.854,0.228,0,0.038,0.074,0.007,0.076,70.78
"Snack bar, oatmeal",53712000,5402,Cereal bars,389,6.67,75.47,31.54,4.6,6.67,1.299,1.531,2.559,36,235,236,2,3,1,0,58,0.5,0.567,6.667,0.667,54,20,113,75,47.3,0.08,0,0.9,0.1,2.25,0,6.9,333,167,69,6,1.42,0.173,16,238,367,0,0,0,0,0,0,0,0.004,0.013,1.076,0.199,0.04,1.478,0.012,0,2.329,0.207,0.001,0.012,0.006,0,0.004,9.86
Snack mix,54402200,5008,Pretzels/snack mix,504,6.87,63.11,1.9,3.1,25.79,3.034,7.065,12.79,2,3,5,0,13,20,0,346,0.186,0.229,2.296,0.135,17,48,76,65,16.9,0.07,0,0.4,0,4.04,0,7.3,80,165,48,2.08,0.94,0.09,6.4,180,729,0,0,0,0.009,0.006,0.01,0.015,0.013,0.047,2.27,0.451,0.033,6.915,0.149,0.004,12.462,0.312,0,0.003,0.002,0,0,1.64
"Snowpeas, raw",75127750,6420,Other vegetables and combinations,42,2.8,7.55,4,2.6,0.2,0.039,0.021,0.089,0,0,54,44,630,0,0,740,0.15,0.08,0.6,0.16,0,42,42,42,17.4,0,0,60,0,0.39,0,25,43,53,24,2.08,0.27,0.079,0.7,200,4,0,0,0,0,0,0,0,0,0.002,0.033,0.003,0,0.021,0,0,0.075,0.013,0,0,0,0,0,88.89
"Soup, barley",58401010,3804,"Soups, broth-based",58,3.34,6.66,0.8,1.1,2.07,0.7,0.871,0.222,9,0,27,91,275,2,114,145,0.032,0.041,1.03,0.089,0,10,10,10,13.2,0.25,0,3.7,0,0.15,0,7.6,11,39,11,0.53,0.82,0.044,3.7,117,247,0,0,0,0,0,0,0.001,0.002,0.048,0.411,0.209,0.061,0.774,0.006,0,0.189,0.027,0,0.005,0,0.001,0,87.01
"Soup, bean",41601010,3804,"Soups, broth-based",67,3.76,11.62,1.14,4,0.76,0.132,0.233,0.296,0,0,52,213,524,0,0,34,0.108,0.036,0.322,0.055,0,65,65,65,14.8,0,0,1.4,0,0.5,0,4.7,20,64,31,0.87,0.49,0.096,0.5,197,244,0,0,0,0,0,0,0,0,0.001,0.108,0.018,0.002,0.227,0.003,0,0.232,0.064,0,0,0,0,0,82.63
"Soup, bean, canned",41601030,3804,"Soups, broth-based",47,2.44,8.1,1.09,2.7,0.68,0.111,0.226,0.261,0,0,52,213,524,0,0,34,0.071,0.028,0.247,0.044,0,43,43,43,9.9,0,0,1.4,0,0.37,0,4.2,17,43,21,0.56,0.33,0.066,0.4,145,264,0,0,0,0,0,0,0,0,0.001,0.089,0.017,0.002,0.22,0.003,0,0.213,0.048,0,0,0,0,0,87.66
"Soup, bisque",28355250,3806,"Soups, cream-based",75,2.28,5.9,1.9,0.9,4.81,2.529,1.041,0.393,22,40,100,231,605,0,455,56,0.05,0.058,0.581,0.055,4,10,17,14,13.4,0.54,0,3.9,0.2,0.44,0,5.1,28,38,10,0.56,2.8,0.285,5.8,138,239,0,0,0,0.087,0.073,0.046,0.108,0.129,0.409,1.185,0.398,0.084,1.104,0.013,0.001,0.235,0.038,0.003,0.01,0.018,0.003,0.012,86.01
"Soup, broccoli cheese",72302100,3806,"Soups, cream-based",82,4.26,6.08,1.03,1.3,4.54,2.348,1.02,0.28,12,38,62,85,247,0,0,306,0.063,0.116,0.506,0.092,4,28,35,32,10.7,0.13,0,32.6,0.1,0.24,0,43.9,108,89,14,0.49,0.65,0.04,4.5,161,329,0,0,0,0.078,0.065,0.042,0.1,0.115,0.37,1.094,0.415,0.063,1.012,0.01,0,0.263,0.037,0,0.006,0.001,0.002,0,83.64
